20, pa3-g-unknown-Output.txt
  -11.33,   -27.57,   -20.11,   -10.66,   -28.86,   -19.76,    1.495
   32.48,    12.85,     3.57,    35.25,    15.64,     3.89,    3.944
  -45.95,   -12.07,   -24.95,   -44.08,   -11.83,   -25.16,    1.899
    0.01,   -13.79,     7.89,     0.22,   -11.62,     7.59,    2.203
   25.91,    -4.55,    15.59,    26.09,    -5.03,    15.72,    0.520
   11.28,   -10.38,    12.58,    11.09,    -9.68,    12.33,    0.765
   -3.84,   -14.30,     0.87,    -3.78,   -13.24,     0.42,    1.157
   18.47,     0.39,    46.12,    20.16,    -1.50,    46.66,    2.592
  -14.09,    -5.48,   -49.79,   -14.16,    -5.99,   -47.72,    2.132
  -24.49,   -25.88,   -12.61,   -24.50,   -26.84,   -11.60,    1.392
  -44.76,   -15.29,   -22.15,   -42.97,   -14.97,   -22.54,    1.857
   11.35,    20.47,    23.64,    11.43,    23.42,    24.23,    3.014
  -32.10,   -31.23,   -23.23,   -31.32,   -30.00,   -23.43,    1.471
   -2.27,    -0.22,    61.04,    -2.28,    -0.22,    63.43,    2.389
    2.46,   -14.73,   -25.19,     2.59,   -14.78,   -25.27,    0.160
    4.42,    18.91,    33.52,     4.63,    21.71,    34.07,    2.863
   -1.53,    -5.82,   -29.22,    -0.99,    -5.67,   -29.67,    0.715
  -33.92,   -29.95,   -22.13,   -33.11,   -28.67,   -22.40,    1.543
  -37.66,     3.29,   -19.48,   -37.51,     3.13,   -19.55,    0.237
   35.24,    -3.29,   -10.87,    35.89,    -3.89,   -10.63,    0.911
